                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2862,                 2.3246,                 1.4104,                      1,                0.17012,                0.62895,                0.46311,                0.84607,                 2.8548,                 1.1271,                0.00048,                0.00048,                0.00048
                      2,                 1.0269,                 1.2826,                 1.1969,                 0.8434,                0.50559,                0.73204,                0.50826,                0.98529,                  2.304,                 1.2473,              0.0009703,              0.0009703,              0.0009703
                      3,                0.98985,                 1.1525,                 1.1834,                0.84842,                0.60408,                0.74743,                0.48093,                 1.1414,                  1.812,                 1.3637,              0.0014507,              0.0014507,              0.0014507
                      4,                   1.01,                 1.1165,                 1.2593,                0.58815,                0.70529,                0.69901,                0.43666,                 1.1591,                 1.7273,                 1.6732,              0.0019212,              0.0019212,              0.0019212
                      5,                 1.0742,                  1.077,                 1.2581,                0.58564,                0.76724,                0.69572,                0.38241,                 1.3464,                 1.9444,                 1.6548,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.0309,                 1.0438,                  1.243,                0.86562,                0.89388,                0.94086,                0.65266,                 1.0119,                 1.0942,                    1.3,               0.001901,               0.001901,               0.001901
                      7,                 1.0142,                0.94426,                 1.1839,                0.93793,                 0.9252,                0.96565,                0.65434,                 1.1165,                 1.3479,                  1.413,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.0028,                0.84624,                 1.1694,                0.94155,                 0.8548,                0.95624,                0.66099,                 0.9995,                 1.0976,                 1.2024,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.0018,                0.82983,                  1.186,                0.97125,                0.96531,                0.98775,                0.70932,                0.91428,                0.73902,                 1.1587,              0.0018416,              0.0018416,              0.0018416
                     10,                0.98874,                0.79255,                 1.1611,                0.98245,                0.98776,                0.99364,                0.72123,                0.88593,                0.70369,                 1.1265,              0.0018218,              0.0018218,              0.0018218
                     11,                0.94338,                0.76134,                 1.1397,                0.92828,                0.95088,                0.97315,                 0.6513,                 1.0202,                0.84222,                 1.2337,               0.001802,               0.001802,               0.001802
                     12,                0.91104,                0.77857,                 1.1357,                0.99017,                0.97551,                0.99424,                0.70864,                  0.892,                0.73987,                 1.1316,              0.0017822,              0.0017822,              0.0017822
                     13,                0.92753,                0.69362,                 1.1152,                 0.9887,                0.96327,                0.98939,                0.72766,                0.86195,                0.71491,                 1.1074,              0.0017624,              0.0017624,              0.0017624
                     14,                0.91076,                0.69435,                 1.1655,                0.96538,                0.97143,                0.98898,                  0.697,                0.98284,                 0.7467,                 1.1825,              0.0017426,              0.0017426,              0.0017426
                     15,                 0.8984,                 0.6684,                 1.1324,                0.98858,                0.99184,                0.99455,                 0.7531,                0.85087,                  0.606,                 1.1295,              0.0017228,              0.0017228,              0.0017228
                     16,                0.89356,                0.64444,                 1.0996,                0.96415,                      1,                0.99287,                 0.7536,                 0.8265,                0.54048,                 1.0924,               0.001703,               0.001703,               0.001703
                     17,                0.85895,                0.63834,                 1.1072,                0.99186,                 0.9949,                0.99492,                0.77277,                0.79551,                 0.5705,                 1.0524,              0.0016832,              0.0016832,              0.0016832
                     18,                0.81712,                0.59895,                 1.1143,                0.99456,                0.98776,                0.99488,                0.76636,                0.83821,                0.52091,                 1.0919,              0.0016634,              0.0016634,              0.0016634
                     19,                0.90392,                0.58891,                 1.0993,                0.99179,                0.98592,                0.99475,                0.77751,                 0.8036,                0.49434,                 1.0702,              0.0016436,              0.0016436,              0.0016436
